date,campaign,market,spend,clicks,impressions,conversions,revenue
2026-05-01,Growth_Search_BR,Brasil,3200,1450,58000,86,11400
2026-05-01,AI_Builder_Awareness,USA,2100,980,71000,32,4800
2026-05-01,Retargeting_LATAM,LATAM,900,610,15000,54,7200
2026-05-08,Growth_Search_BR,Brasil,3400,1510,59500,91,12100
2026-05-08,AI_Builder_Awareness,USA,2300,1020,74000,29,4300
2026-05-08,Retargeting_LATAM,LATAM,950,640,15800,58,7700
2026-05-15,Growth_Search_BR,Brasil,3550,1600,61000,97,13200
2026-05-15,AI_Builder_Awareness,USA,2450,1080,76500,27,4100
2026-05-15,Retargeting_LATAM,LATAM,1000,670,16400,61,8100
2026-05-22,Growth_Search_BR,Brasil,3700,1650,62500,102,14000
2026-05-22,AI_Builder_Awareness,USA,2600,1140,79000,25,3900
2026-05-22,Retargeting_LATAM,LATAM,1050,700,17000,64,8600
